Ссылка,Цена(BYN),Цена(USD),Тип двигателя,Объем,Пробег,Год выпуска
https://cars.av.by/audi/a8/102044364,11765,3999,бензин (пропан-бутан),4.2,305000,1995
https://cars.av.by/audi/a8/103129403,11768,4000,бензин,3.7,370000,1996
https://cars.av.by/audi/a8/101196945,12062,4100,бензин (пропан-бутан),4.2,400000,1995
https://cars.av.by/audi/a8/100885010,12648,4299,бензин (пропан-бутан),4.2,441000,1998
https://cars.av.by/audi/a8/104191782,13974,4750,бензин,3.7,350000,1996
https://cars.av.by/audi/a8/104049548,14122,4800,бензин,3.7,300987,1997
https://cars.av.by/audi/a8/103649709,14122,4800,бензин,3.7,300091,1997
https://cars.av.by/audi/a8/100851233,14710,5000,бензин,4.2,285000,1999
https://cars.av.by/audi/a8/101064627,14710,5000,бензин,3.7,400000,2000
https://cars.av.by/audi/a8/104325816,15298,5200,бензин (пропан-бутан),4.2,360000,1998
https://cars.av.by/audi/a8/104275751,15298,5200,бензин,4.2,400000,1995
https://cars.av.by/audi/a8/100402950,16181,5500,бензин,3.7,400000,1996
https://cars.av.by/audi/a8/103674689,16181,5500,дизель,2.5,300000,1997
https://cars.av.by/audi/a8/104174719,16475,5600,бензин (пропан-бутан),2.8,411111,1997
https://cars.av.by/audi/a8/104175656,17211,5850,бензин,4.2,295000,1999
https://cars.av.by/audi/a8/104366137,17623,5990,бензин,3.7,330000,2003
https://cars.av.by/audi/a8/104174160,17649,5999,дизель,2.5,463798,1998
https://cars.av.by/audi/a8/104280920,17652,6000,бензин (пропан-бутан),4.2,219557,1999
https://cars.av.by/audi/a8/103522566,18241,6200,дизель,2.5,520000,1999
https://cars.av.by/audi/a8/103868851,18532,6299,бензин (пропан-бутан),2.8,525660,1997
https://cars.av.by/audi/a8/104366621,18535,6300,дизель,2.5,370000,2001
https://cars.av.by/audi/a8/104316883,19123,6500,бензин,3.7,370000,2003
https://cars.av.by/audi/a8/101401117,19417,6600,дизель,3.3,380000,2001
https://cars.av.by/audi/a8/103168123,19712,6700,дизель,1.9,180000,1996
https://cars.av.by/audi/a8/103501156,20006,6800,дизель,2.5,360000,2001
https://cars.av.by/audi/a8/104322245,20594,7000,бензин,4.2,450000,1998
https://cars.av.by/audi/a8/104342297,20594,7000,бензин (пропан-бутан),3.7,456000,1999
https://cars.av.by/audi/a8/104195029,20594,7000,бензин,4.2,312000,2002
https://cars.av.by/audi/a8/103320328,20594,7000,бензин,3.7,450000,2004
https://cars.av.by/audi/a8/103282924,20594,7000,бензин,3.7,333000,2001
https://cars.av.by/audi/a8/104052690,20594,7000,дизель,2.5,400000,1999
https://cars.av.by/audi/a8/103226911,20594,7000,бензин,2.8,346589,2001
https://cars.av.by/audi/a8/104189055,21477,7300,дизель,2.5,430000,2001
https://cars.av.by/audi/a8/103729157,22065,7500,бензин (пропан-бутан),4.2,350000,2003
https://cars.av.by/audi/a8/104148918,22065,7500,дизель,3.3,500000,2000
https://cars.av.by/audi/a8/102537410,22948,7800,бензин,4.2,395480,2002
https://cars.av.by/audi/a8/103668632,24419,8300,бензин,4.2,330000,2004
https://cars.av.by/audi/a8/104162197,24860,8450,бензин,4.2,466000,2006
https://cars.av.by/audi/a8/103350790,25007,8500,бензин,4.2,296000,2004
https://cars.av.by/audi/a8/101083612,25007,8500,бензин,4.2,244000,2005
https://cars.av.by/audi/a8/104351790,25449,8650,бензин,4.2,297200,2007
https://cars.av.by/audi/a8/100847389,26184,8900,бензин,3.7,250000,2003
https://cars.av.by/audi/a8/104281356,26331,8950,бензин,3.7,350000,2004
https://cars.av.by/audi/a8/104003764,26449,8990,бензин,3.7,302000,2003
https://cars.av.by/audi/a8/104224951,26475,8999,дизель,3.3,236000,2000
https://cars.av.by/audi/a8/104195054,26478,9000,бензин,3.7,275000,2005
https://cars.av.by/audi/a8/103849031,27067,9200,бензин,4.2,229000,2005
https://cars.av.by/audi/a8/104174827,27361,9300,бензин,4.2,230000,2007
https://cars.av.by/audi/a8/103531273,27949,9500,бензин,4.2,375000,2003
https://cars.av.by/audi/a8/103667876,27949,9500,бензин,4.2,287000,2003
https://cars.av.by/audi/a8/103758180,28244,9600,бензин,3.1,290000,2005
https://cars.av.by/audi/a8/103984885,28538,9700,бензин,4.2,146700,2008
https://cars.av.by/audi/a8/103869339,29418,9999,бензин,4.2,296000,2007
https://cars.av.by/audi/a8/100908463,29421,10000,бензин,6.0,210000,2004
https://cars.av.by/audi/a8/103372475,29715,10100,бензин,4.2,399000,2003
https://cars.av.by/audi/a8/101945564,29862,10150,дизель,3.9,525000,2004
https://cars.av.by/audi/a8/103627508,30009,10200,бензин,4.2,272000,2006
https://cars.av.by/audi/a8/104006822,30303,10300,бензин,4.2,185000,2005
https://cars.av.by/audi/a8/103758083,31333,10650,бензин (пропан-бутан),4.2,270000,2005
https://cars.av.by/audi/a8/103899037,31745,10790,бензин,3.1,210000,2008
https://cars.av.by/audi/a8/103608850,32333,10990,дизель,3.9,182000,2004
https://cars.av.by/audi/a8/104351419,32360,10999,бензин (пропан-бутан),4.2,400000,2001
https://cars.av.by/audi/a8/104320209,32363,11000,бензин,4.2,205000,2002
https://cars.av.by/audi/a8/103606913,32363,11000,дизель,3.9,282000,2004
https://cars.av.by/audi/a8/104227275,32951,11200,дизель,3.0,300000,2004
https://cars.av.by/audi/a8/101419812,32951,11200,бензин,3.7,312616,2005
https://cars.av.by/audi/a8/104136532,33687,11450,бензин,3.2,352000,2008
https://cars.av.by/audi/a8/101673002,33834,11500,дизель,3.9,437000,2004
https://cars.av.by/audi/a8/104286536,33834,11500,дизель,3.0,320000,2003
https://cars.av.by/audi/a8/102569532,34716,11800,бензин,4.2,335000,2009
https://cars.av.by/audi/a8/104194803,35010,11900,дизель,3.0,303000,2005
https://cars.av.by/audi/a8/103798819,35158,11950,бензин,3.1,237000,2008
https://cars.av.by/audi/a8/104113023,35216,11970,бензин,3.1,229000,2008
https://cars.av.by/audi/a8/104272041,35305,12000,бензин,4.2,160000,2008
https://cars.av.by/audi/a8/104325871,35305,12000,бензин (метан),4.2,417000,2004
https://cars.av.by/audi/a8/104051182,35305,12000,бензин,4.2,265000,2007
https://cars.av.by/audi/a8/100885800,35305,12000,дизель,3.0,335000,2005
https://cars.av.by/audi/a8/102540946,36629,12450,дизель,3.9,370000,2004
https://cars.av.by/audi/a8/104088241,36776,12500,бензин,4.2,373000,2005
https://cars.av.by/audi/a8/104226387,36776,12500,бензин (пропан-бутан),4.2,320000,2003
https://cars.av.by/audi/a8/100151675,36776,12500,бензин,3.1,218378,2008
https://cars.av.by/audi/a8/100394599,37364,12700,дизель,3.0,400000,2005
https://cars.av.by/audi/a8/100322900,38247,13000,бензин,4.2,400000,2007
https://cars.av.by/audi/a8/16204400,38247,13000,бензин,3.1,232000,2007
https://cars.av.by/audi/a8/101945777,38247,13000,бензин,3.2,250000,2007
