Ссылка,Цена(BYN),Цена(USD),Тип двигателя,Объем,Пробег,Год выпуска
https://cars.av.by/audi/a8/104118735,8092,2800,бензин,4.2,256638,1996
https://cars.av.by/audi/a8/102044364,11557,3999,бензин (пропан-бутан),4.2,305000,1995
https://cars.av.by/audi/a8/103129403,11560,4000,бензин,3.7,370000,1996
https://cars.av.by/audi/a8/101196945,11849,4100,бензин (пропан-бутан),4.2,400000,1995
https://cars.av.by/audi/a8/104195029,13005,4500,бензин,4.2,312000,2002
https://cars.av.by/audi/a8/104383432,13005,4500,бензин,3.7,500000,1996
https://cars.av.by/audi/a8/104414500,13005,4500,дизель,1.9,487654,1995
https://cars.av.by/audi/a8/104191782,13727,4750,бензин,3.7,350000,1996
https://cars.av.by/audi/a8/103649709,13872,4800,бензин,3.7,300091,1997
https://cars.av.by/audi/a8/104318116,13872,4800,дизель,1.9,380000,1997
https://cars.av.by/audi/a8/104049548,13872,4800,бензин,3.7,300987,1997
https://cars.av.by/audi/a8/101064627,14450,5000,бензин,3.7,400000,2000
https://cars.av.by/audi/a8/103650266,14450,5000,бензин,4.2,450000,1996
https://cars.av.by/audi/a8/104325816,15028,5200,бензин (пропан-бутан),4.2,360000,1998
https://cars.av.by/audi/a8/104275751,15028,5200,бензин,4.2,400000,1995
https://cars.av.by/audi/a8/104400846,15317,5300,бензин (пропан-бутан),4.2,430000,1998
https://cars.av.by/audi/a8/100402950,15895,5500,бензин,3.7,400000,1996
https://cars.av.by/audi/a8/104174719,16184,5600,бензин (пропан-бутан),2.8,411111,1997
https://cars.av.by/audi/a8/104384384,16473,5700,бензин,4.2,290000,2004
https://cars.av.by/audi/a8/104175656,16907,5850,бензин,4.2,295000,1999
https://cars.av.by/audi/a8/104385738,17340,6000,дизель,3.3,320000,2001
https://cars.av.by/audi/a8/104280920,17340,6000,бензин (пропан-бутан),4.2,219557,1999
https://cars.av.by/audi/a8/104385241,17629,6100,бензин,4.2,360000,2001
https://cars.av.by/audi/a8/104366137,17889,6190,бензин,3.7,330000,2003
https://cars.av.by/audi/a8/103522566,17918,6200,дизель,2.5,520000,1999
https://cars.av.by/audi/a8/103168123,19363,6700,дизель,1.9,180000,1996
https://cars.av.by/audi/a8/103501156,19652,6800,дизель,2.5,360000,2001
https://cars.av.by/audi/a8/103320328,20230,7000,бензин,3.7,450000,2004
https://cars.av.by/audi/a8/104322245,20230,7000,бензин,4.2,450000,1998
https://cars.av.by/audi/a8/104052690,20230,7000,дизель,2.5,400000,1999
https://cars.av.by/audi/a8/103282924,20230,7000,бензин,3.7,333000,2001
https://cars.av.by/audi/a8/103226911,20230,7000,бензин,2.8,346589,2001
https://cars.av.by/audi/a8/104189055,20519,7100,дизель,2.5,430000,2001
https://cars.av.by/audi/a8/104461157,21675,7500,дизель,3.3,212000,2000
https://cars.av.by/audi/a8/104475247,21675,7500,бензин,4.2,500000,2003
https://cars.av.by/audi/a8/103729157,21675,7500,бензин (пропан-бутан),4.2,350000,2003
https://cars.av.by/audi/a8/100267511,22253,7700,бензин,4.2,285000,2004
https://cars.av.by/audi/a8/102537410,22542,7800,бензин,4.2,395480,2002
